ocreval Accuracy Report Version 7.0
-----------------------------------
   30591   Characters
    9175   Errors
   70.01%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   70.01%  Accuracy After Correction

     Ins    Subst      Del   Errors
       2        0   {il}-{tt}
       2        0   {il}-{ît}
       2        0   {ir}-{ân}
       2        0   {i}-{ }
       2        0   {i}-{t }
       2        0   {i}-{tr}
       2        0   {i}-{tè}
       2        0   {i}-{}
       2        0   {i}-{à}
       2        0   {i}-{ï}
       2        0   {i}-{ô}
       2        0   {i}-{’ê}
       2        0   {j}-{ i}
       2        0   {j}-{) }
       2        0   {j}-{f}
       2        0   {k<\n>}-{ }
       2        0   {k}-{K}
       2        0   {k}-{é }
       2        0   {k}-{’é}
       2        0   {l:}-{t }
       2        0   {l<\n>}-{t }
       2        0   {lO}-{t }
       2        0   {le}-{tc}
       2        0   {lt}-{t }
       2        0   {l}-{té}
       2        0   {l}-{êt}
       2        0   {l}-{ût}
       2        0   {m}-{M}
       2        0   {q}-{ a}
       2        0   {q}-{g.}
       2        0   {q}-{}
       2        0   {ra}-{TA}
       2        0   {r}-{i }
       2        0   {r}-{x}
       2        0   {s<\n>}-{t }
       2        0   {s}-{ S}
       2        0   {s}-{, }
       2        0   {s}-{é}
       2        0   {t(}-{}
       2        0   {t(}-{«}
       2        0   {t<\n>}-{ i}
       2        0   {t<\n>}-{r }
       2        0   {t}-{ e}
       2        0   {t}-{ l}
       2        0   {t}-{i}
       2        0   {t}-{l }
       2        0   {t}-{l}
       2        0   {t}-{« }
       2        0   {t}-{éi}
       2        0   {t}-{û }
       2        0   {u}-{ e}
       2        0   {u}-{ i}
       2        0   {u}-{,n}
       2        0   {u}-{M}
       2        0   {u}-{e }
       2        0   {v.}-{}
       2        0   {v}-{ i}
       2        0   {v}-{y}
       2        0   {v}-{yâ}
       2        0   {v}-{ây}
       2        0   {w.}-{u }
       2        0   {xK}-{N}
       2        0   {}-{ (}
       2        0   {}-{ s}
       2        0   {}-{ t}
       2        0   {}-{ Â}
       2        0   {}-{<\n>}
       2        0   {}-{<\n>â}
       2        0   {}-{a }
       2        0   {}-{e}
       2        0   {}-{f}
       2        0   {}-{s }
       2        0   {}-{t}
       2        0   {}-{v}
       2        0   {}-{« }
       2        0   {}-{««}
       2        0   {}-{Â }
       2        0   {}-{à }
       2        0   {}-{à}
       2        0   {}-{â’}
       2        0   {}-{ä}
       2        0   {}-{’ }
       2        0   {}-{’a}
       2        0   {}-{’â}
       1        0   {(}-{ }
       1        0   {)}-{}
       1        0   {,}-{}
       1        0   {-}-{.}
       1        0   {-}-{}
       1        0   {0}-{ }
       1        0   {0}-{}
       1        0   {1}-{l}
       1        0   {4}-{a}
       1        0   {4}-{}
       1        0   {4}-{«}
       1        0   {6}-{c}
       1        0   {6}-{e}
       1        0   {6}-{v}
       1        0   {6}-{ê}
       1        0   {:}-{i}
       1        0   {<\n>}-{r}
       1        0   {A}-{E}
       1        0   {A}-{H}
       1        0   {A}-{I}
       1        0   {D}-{}
       1        0   {E}-{A}
       1        0   {E}-{I}
       1        0   {E}-{}
       1        0   {E}-{É}
       1        0   {E}-{Ê}
       1        0   {I}-{J}
       1        0   {K}-{k}
       1        0   {K}-{}
       1        0   {K}-{Â}
       1        0   {M}-{N}
       1        0   {N}-{K}
       1        0   {O}-{.}
       1        0   {O}-{}
       1        0   {R}-{H}
       1        0   {R}-{}
       1        0   {T}-{}
       1        0   {U}-{u}
       1        0   {V}-{v}
       1        0   {W}-{M}
       1        0   {W}-{}
       1        0   {a}-{ }
       1        0   {a}-{e}
       1        0   {a}-{i}
       1        0   {a}-{}
       1        0   {b}-{è}
       1        0   {b}-{é}
       1        0   {b}-{ê}
       1        0   {c}-{ }
       1        0   {c}-{C}
       1        0   {c}-{e}
       1        0   {c}-{è}
       1        0   {d}-{}
       1        0   {d}-{à}
       1        0   {e}-{a}
       1        0   {e}-{i}
       1        0   {e}-{}
       1        0   {f}-{}
       1        0   {f}-{â}
       1        0   {g}-{e}
       1        0   {g}-{ç}
       1        0   {h}-{u}
       1        0   {i}-{e}
       1        0   {i}-{o}
       1        0   {i}-{Â}
       1        0   {i}-{ä}
       1        0   {k}-{o}
       1        0   {k}-{}
       1        0   {l}-{i}
       1        0   {l}-{}
       1        0   {m}-{ }
       1        0   {n}-{H}
       1        0   {n}-{}
       1        0   {o}-{ }
       1        0   {o}-{v}
       1        0   {o}-{}
       1        0   {p}-{a}
       1        0   {q}-{«}
       1        0   {r}-{ }
       1        0   {r}-{I}
       1        0   {r}-{i}
       1        0   {s}-{ }
       1        0   {s}-{S}
       1        0   {s}-{}
       1        0   {t}-{c}
       1        0   {t}-{v}
       1        0   {t}-{Â}
       1        0   {t}-{à}
       1        0   {t}-{â}
       1        0   {t}-{ä}
       1        0   {u}-{U}
       1        0   {u}-{a}
       1        0   {u}-{e}
       1        0   {u}-{v}
       1        0   {v}-{c}
       1        0   {v}-{u}
       1        0   {v}-{}
       1        0   {w}-{ }
       1        0   {w}-{a}
       1        0   {w}-{n}
       1        0   {w}-{y}
       1        0   {x}-{«}
       1        0   {x}-{Â}
       1        0   {y}-{t}
       1        0   {y}-{w}
       1        0   {}-{)}
       1        0   {}-{-}
       1        0   {}-{H}
       1        0   {}-{I}
       1        0   {}-{J}
       1        0   {}-{K}
       1        0   {}-{W}
       1        0   {}-{l}
       1        0   {}-{m}
       1        0   {}-{n}
       1        0   {}-{Ê}
